Country/Region,Continent,Population,TotalCases,NewCases,TotalDeaths,NewDeaths,TotalRecovered,NewRecovered,ActiveCases,"Serious,Critical",Tot Cases/1M pop,Deaths/1M pop,TotalTests,Tests/1M pop,WHO Region
USA,North America,331653357,9402717,127,236077,5,6062445,7,3104195,17208,28351,712,144186274,434750,Americas
India,Asia,1384530463,8184082,1201,122149,,7491513,2310,570420,8944,5911,88,109887303,79368,South-EastAsia
Brazil,South America,213065184,5535605,,159902,,4972898,,402805,8318,25981,750,21900000,102785,Americas
Russia,Europe,145955577,1636781,18665,28235,245,1225673,10259,382873,2300,11214,193,61029746,418139,Europe
France,Europe,65322146,1367625,,36788,,117658,,1213179,3452,20937,563,16060497,245866,Europe
Spain,Europe,46760889,1264517,,35878,,,,,2482,27042,767,16690076,356924,Europe
Argentina,South America,45334239,1166924,,31002,,973939,,161983,4981,25740,684,3006804,66325,Americas
Colombia,South America,51063623,1074184,,31314,,969230,,73640,2376,21036,613,5079380,99472,Americas
UK,Europe,68005651,1011660,,46555,,,,,978,14876,685,33470217,492168,Europe
Mexico,North America,129384259,924962,6151,91753,464,677659,4202,155550,2838,7149,709,2403499,18576,Americas
Peru,South America,33124270,902503,,34476,,825197,,42830,1055,27246,1041,4517584,136383,Americas
South Africa,Africa,59557257,725452,,19276,,654182,,51994,546,12181,324,4822973,80980,Africa
Italy,Europe,60431760,679430,,38618,,289426,,351386,1843,11243,639,15784461,261195,Europe
Iran,Asia,84350228,612772,,34864,,481930,,95978,5185,7265,413,4929005,58435,EasternMediterranean
Germany,Europe,83874045,531790,,10583,,345700,,175507,1944,6340,126,21882967,260903,Europe
Chile,South America,19171027,510256,,14207,,486642,,9407,756,26616,741,4308761,224754,Americas
Iraq,Asia,40518623,472630,,10910,,399655,,62065,452,11665,269,2862007,70634,EasternMediterranean
Belgium,Europe,11606564,429229,16915,11625,173,25569,652,392035,1160,36982,1002,4965586,427826,Europe
Indonesia,Asia,274487572,412784,2696,13943,74,341942,4141,56899,,1504,51,4517739,16459,South-EastAsia
Bangladesh,Asia,165236639,407684,,5923,,324145,,77616,,2467,36,2336262,14139,South-EastAsia
Ukraine,Europe,43644446,395440,7959,7306,110,161441,2513,226693,177,9060,167,3176397,72779,Europe
Philippines,Asia,110065461,383113,2396,7238,17,348760,17727,27115,1483,3481,66,4784960,43474,WesternPacific
Turkey,Asia,84641457,375367,,10252,,323971,,41144,2075,4435,121,14001814,165425,Europe
Poland,Europe,37832599,362731,,5631,,140280,,216820,1305,9588,149,4713403,124586,Europe
Netherlands,Europe,17147638,351178,,7395,,,,,584,20480,431,3327701,194062,Europe
Saudi Arabia,Asia,34993401,347282,,5402,,333842,,8038,776,9924,154,8052694,230120,EasternMediterranean
Czechia,Europe,10715674,335102,,3251,,143359,,188492,1137,31272,303,2288854,213599,Europe
Pakistan,Asia,222305345,333970,977,6823,17,314555,489,12592,648,1502,31,4458890,20058,EasternMediterranean
Israel,Asia,9197590,314498,76,2541,2,301484,243,10473,404,34194,276,4614569,501715,Europe
Romania,Europe,19194034,241339,,6968,,172513,,61858,923,12574,363,3242748,168946,Europe
Canada,North America,37852693,234511,,10136,,195876,,28499,228,6195,268,9753158,257661,Americas
Morocco,Africa,37056130,219084,,3695,,181275,,34114,814,5912,100,3326650,89773,EasternMediterranean
Nepal,Asia,29309783,170743,,937,,131222,,38584,,5825,32,1443343,49244,South-EastAsia
Ecuador,South America,17731812,168192,,12670,,141759,,13763,348,9485,715,546508,30821,Americas
Switzerland,Europe,8675802,154251,,2297,,65200,,86754,237,17779,265,1933386,222848,Europe
Bolivia,South America,11725880,141757,126,8725,10,111503,325,21529,71,12089,744,333282,28423,Americas
Portugal,Europe,10186638,141279,,2507,,80280,,58492,286,13869,246,3361537,329995,Europe
Panama,North America,4337253,133598,,2700,,110552,,20346,112,30802,623,669813,154433,Americas
UAE,Asia,9930151,132629,,495,,128902,,3232,,13356,50,13184160,1327690,EasternMediterranean
Qatar,Asia,2807805,132556,,232,,129583,,2741,36,47210,83,975530,347435,EasternMediterranean
Dominican Republic,North America,10884190,127018,,2245,,104862,,19911,177,11670,206,594704,54639,Americas
Kuwait,Asia,4291506,125926,,779,,116862,,8285,110,29343,182,916525,213567,EasternMediterranean
Sweden,Europe,10120367,124355,,5938,,,,,59,12288,587,2242469,221580,Europe
Oman,Asia,5149061,114434,,1208,,103060,,10166,185,22224,235,376700,73159,EasternMediterranean
Kazakhstan,Asia,18851428,112418,465,1825,,106400,90,4193,221,5963,97,3309626,175564,Europe
Costa Rica,North America,5109650,109971,,1385,,66719,,41867,186,21522,271,308063,60290,Americas
Guatemala,North America,18024881,107939,,3729,,97289,,6921,5,5988,207,434452,24103,Americas
Egypt,Africa,102970736,107555,,6266,,99452,,1837,41,1045,61,135000,1311,EasternMediterranean
Austria,Europe,9023629,104925,,1109,,67226,,36590,265,11628,123,2232735,247432,Europe
Japan,Asia,126345283,100392,,1755,,92475,,6162,161,795,14,2706168,21419,WesternPacific
Belarus,Europe,9448273,98482,,980,,86663,,10839,,10423,104,2495602,264133,Europe
Honduras,North America,9956747,97404,516,2672,3,40379,250,54353,23,9783,268,229147,23014,Americas
Ethiopia,Africa,115894879,96169,,1469,,52517,,42183,335,830,13,1481369,12782,Africa
Armenia,Asia,2965109,92254,2441,1363,22,55827,510,35064,,31113,460,407980,137594,Europe
Venezuela,South America,28408650,92013,,798,,86773,,4442,117,3239,28,2127032,74873,Americas
Bahrain,Asia,1720646,81645,,321,,78719,,2605,21,47450,187,1749872,1016985,EasternMediterranean
Lebanon,Asia,6815073,81228,,637,,41624,,38967,276,11919,93,1227731,180149,EasternMediterranean
Hungary,Europe,9652045,79199,3878,1819,69,20078,1046,57302,306,8205,188,1083743,112281,Europe
Moldova,Europe,4030789,76040,,1785,,55782,,18473,792,18865,443,373458,92651,Europe
Jordan,Asia,10236920,72607,,829,,7600,,64178,55,7093,81,1860367,181731,EasternMediterranean
Uzbekistan,Asia,33630049,67055,123,568,2,64235,,2252,266,1994,17,1377915,40973,Europe
Paraguay,South America,7161674,63185,,1404,,42900,,18881,123,8823,196,364557,50904,Americas
Nigeria,Africa,207810450,62853,,1144,,58675,,3034,7,302,6,625510,3010,Africa
Ireland,Europe,4956155,61456,,1913,,23364,,36179,44,12400,386,1634578,329808,Europe
Tunisia,Africa,11859840,61115,1302,1348,31,5032,,54735,233,5153,114,354753,29912,EasternMediterranean
Libya,Africa,6902312,61095,,857,,35030,,25208,,8851,124,317581,46011,EasternMediterranean
Kyrgyzstan,Asia,6559794,58878,,1144,,49983,,7751,24,8976,174,417790,63690,Europe
Singapore,Asia,5865729,58019,4,28,,57913,,78,,9891,5,3680000,627373,WesternPacific
Algeria,Africa,44112382,57942,,1964,,40201,,15777,29,1314,45,,,Africa
Slovakia,Europe,5460534,57664,,219,,12617,,44828,205,10560,40,769818,140979,Europe
Azerbaijan,Asia,10169695,55269,,730,,43543,,10996,,5435,72,1352907,133033,Europe
Kenya,Africa,54160114,55192,,981,,35876,,18335,36,1019,18,695087,12834,Africa
Palestine,Asia,5140279,53520,,483,,46309,,6728,,10412,94,522241,101598,EasternMediterranean
Bulgaria,Europe,6930634,52844,,1279,,20045,,31520,166,7625,185,721959,104169,Europe
Myanmar,Asia,54531956,52706,,1237,,32774,,18695,,967,23,688159,12619,South-EastAsia
Bosnia and Herzegovina,Europe,3273880,50090,,1234,,28083,,20773,,15300,377,315265,96297,Europe
Croatia,Europe,4096659,49316,,546,,32818,,15952,82,12038,133,494022,120591,Europe
Ghana,Africa,31286198,48055,,320,,47169,,566,11,1536,10,530421,16954,Africa
Serbia,Europe,8725434,46954,,820,,31536,,14598,47,5381,94,1338631,153417,Europe
Denmark,Europe,5799060,46351,,721,,34523,,11107,19,7993,124,5264259,907778,Europe
Afghanistan,Asia,39215952,41501,76,1536,,34326,5,5639,93,1058,39,122699,3129,EasternMediterranean
Georgia,Asia,3986576,40727,1791,335,28,25104,2413,15288,,10216,84,860418,215829,Europe
Greece,Europe,10405769,39251,,626,,9989,,28636,135,3772,60,1777322,170802,Europe
Slovenia,Europe,2079034,34307,,338,,12091,,21878,122,16501,163,363978,175071,Europe
El Salvador,North America,6497188,33445,,979,4,29186,,3280,42,5148,151,470913,72480,Americas
North Macedonia,Europe,2083345,31572,,994,,20731,,9847,25,15154,477,249399,119711,Europe
Malaysia,Asia,32503809,31548,,249,,21248,,10051,83,971,8,2118966,65191,WesternPacific
Australia,Australia/Oceania,25598361,27595,5,907,,25336,12,1352,1,1078,35,8823000,344671,WesternPacific
S. Korea,Asia,51284066,26635,124,466,2,24357,46,1812,51,519,9,2630630,51295,WesternPacific
Cameroon,Africa,26761928,21793,,426,,20117,,1250,61,814,16,149000,5568,Africa
Albania,Europe,2876735,20875,,509,,11189,,9177,15,7256,177,120821,41999,Europe
Ivory Coast,Africa,26591897,20716,,126,,20365,,225,,779,5,194200,7303,Africa
Norway,Europe,5435418,20331,,282,,11863,,8186,10,3740,52,1580349,290750,Europe
Montenegro,Europe,628093,18341,,301,,14084,,3956,26,29201,479,90079,143417,Europe
Luxembourg,Europe,629347,17933,,157,,10081,,7695,24,28495,249,1065644,1693253,Europe
Madagascar,Africa,27923526,17111,,244,,16409,,458,16,613,9,89524,3206,Africa
Zambia,Africa,18551574,16432,,349,,15680,,403,,886,19,260578,14046,Africa
Finland,Europe,5543621,16113,,358,,11300,,4455,10,2907,65,1532639,276469,Europe
Senegal,Africa,16887912,15616,,324,,14853,,439,6,925,19,207516,12288,Africa
Lithuania,Europe,2709264,14824,,165,,4872,,9787,35,5472,61,1020964,376842,Europe
Sudan,Africa,44184741,13804,,837,,6764,,6203,,312,19,,,EasternMediterranean
Namibia,Africa,2556091,12935,,133,,11036,,1766,3,5060,52,127359,49826,Africa
Mozambique,Africa,31540517,12869,,92,,10437,,2340,,408,3,188511,5977,Africa
Uganda,Africa,46208919,12495,,111,,7503,,4881,,270,2,549158,11884,Africa
Guinea,Africa,13248911,12072,,72,,10550,,1450,24,911,5,42137,3180,Africa
Maldives,Asia,543688,11659,,38,,10814,,807,12,21444,70,150743,277260,South-EastAsia
DRC,Africa,90444861,11306,,307,,10585,,414,,125,3,,,Africa
Tajikistan,Asia,9607927,11017,,82,,10233,,702,,1147,9,,,Europe
Angola,Africa,33197657,10805,,284,,4523,,5998,45,325,9,85213,2567,Africa
Sri Lanka,Asia,21443410,10663,,20,,4399,,6244,,497,0.9,500736,23352,South-EastAsia
French Guiana,South America,301210,10536,,70,,9995,,471,3,34979,232,74591,247638,
Jamaica,North America,2965508,9094,,206,,4510,,4378,4,3067,69,95809,32308,Americas
Haiti,North America,11448759,9057,,232,,7429,,1396,,791,20,32176,2810,Americas
Gabon,Africa,2242937,8968,,55,,8698,,215,3,3998,25,240328,107149,Africa
Cabo Verde,Africa,557999,8793,,95,,7981,,717,23,15758,170,94729,169766,Africa
Zimbabwe,Africa,14934664,8367,,243,,7894,,230,,560,16,163656,10958,Africa
Mauritania,Africa,4689543,7703,,163,,7433,,107,3,1643,35,87552,18670,Africa
Guadeloupe,North America,400147,7605,,126,,2242,,5237,19,19006,315,67445,168551,
French Polynesia,Australia/Oceania,281452,7262,,29,,4842,,2391,24,25802,103,26355,93639,
Cuba,North America,11324280,6887,,128,,6245,,514,5,608,11,841281,74290,Americas
Bahamas,North America,394498,6714,,144,,4422,,2148,9,17019,365,35877,90943,Americas
Botswana,Africa,2367253,6642,,24,,4676,,1942,1,2806,10,299546,126537,Africa
Malta,Europe,441939,6042,,62,,4155,,1825,15,13672,140,336319,761008,Europe
Malawi,Africa,19291374,5930,,184,,5323,,423,4,307,10,62600,3245,Africa
Eswatini,Africa,1164169,5917,,117,,5646,,154,8,5083,101,46202,39687,Africa
Latvia,Europe,1879069,5894,,71,,1406,,4417,13,3137,38,454253,241744,Europe
Syria,Asia,17639784,5728,,288,,1976,,3464,,325,16,,,EasternMediterranean
Trinidad and Tobago,North America,1401012,5692,,108,,4610,,974,14,4063,77,33083,23614,Americas
Réunion,Africa,897451,5659,,24,,4884,,751,10,6306,27,35419,39466,
Djibouti,Africa,992764,5561,,61,,5441,,59,,5602,61,85082,85702,EasternMediterranean
Nicaragua,North America,6650777,5514,,156,,4225,,1133,,829,23,,,Americas
Hong Kong,Asia,7517315,5331,7,105,,5096,7,130,9,709,14,3707664,493217,WesternPacific
Congo,Africa,5562515,5290,,92,,3887,,1311,,951,17,,,Africa
Suriname,South America,588387,5203,,111,,5060,,32,3,8843,189,18941,32191,Americas
Rwanda,Africa,13057217,5137,,35,,4879,,223,,393,3,557534,42699,Africa
Equatorial Guinea,Africa,1417888,5088,,83,,4965,,40,1,3588,59,65982,46535,Africa
Estonia,Europe,1326836,4985,80,73,,3824,13,1088,4,3757,55,263754,198784,Europe
CAR,Africa,4857506,4866,,62,,1924,,2880,2,1002,13,32711,6734,
Iceland,Europe,341985,4865,,13,,3873,,979,4,14226,38,352919,1031972,Europe
Andorra,Europe,77307,4756,,75,,3475,,1206,22,61521,970,146308,1892558,Europe
Aruba,North America,106918,4513,,38,,4319,,156,4,42210,355,39715,371453,
Mayotte,Africa,274970,4366,,44,,2964,,1358,4,15878,160,13000,47278,
Cyprus,Asia,1210300,4366,,26,,1882,,2458,7,3607,21,485211,400901,Europe
Guyana,South America,787826,4162,,124,,3228,,810,9,5283,157,19524,24782,Americas
Somalia,Africa,16037601,3941,,104,,3185,,652,,246,6,,,EasternMediterranean
Thailand,Asia,69858934,3784,4,59,,3592,2,133,1,54,0.8,977854,13998,South-EastAsia
Gambia,Africa,2438769,3672,,119,,3196,,357,,1506,49,21088,8647,Africa
Mali,Africa,20440516,3554,,136,,2753,,665,,174,7,75176,3678,Africa
Martinique,North America,375167,3552,,30,,98,,3424,16,9468,80,50071,133463,
Belize,North America,400010,3487,25,59,1,2160,12,1268,1,8717,147,22749,56871,Americas
Uruguay,South America,3477778,3124,,58,,2560,,506,10,898,17,320589,92182,Americas
South Sudan,Africa,11237399,2905,,58,,1290,,1557,,259,5,12044,1072,Africa
Benin,Africa,12226842,2643,,41,,2418,,184,,216,3,241361,19740,Africa
Burkina Faso,Africa,21090035,2500,,67,,2250,,183,,119,3,,,Africa
Guinea-Bissau,Africa,1983237,2413,,41,,1818,,554,5,1217,21,,,Africa
Sierra Leone,Africa,8030358,2366,,74,,1800,,492,,295,9,,,Africa
Togo,Africa,8342296,2331,,57,,1660,,614,,279,7,119988,14383,Africa
Yemen,Asia,30041606,2063,,599,,1366,,98,,69,20,,,EasternMediterranean
New Zealand,Australia/Oceania,5002100,1959,2,25,,1857,,77,,392,5,1101067,220121,WesternPacific
Lesotho,Africa,2147928,1953,,44,,975,,934,,909,20,22645,10543,Africa
Chad,Africa,16579166,1483,,98,,1314,,71,,89,6,,,Africa
Liberia,Africa,5096625,1426,,82,,1279,,65,2,280,16,30332,5951,Africa
Niger,Africa,24488583,1220,,69,,1137,,14,9,50,3,37433,1529,Africa
Vietnam,Asia,97631052,1180,,35,,1062,,83,,12,0.4,1246480,12767,WesternPacific
Curaçao,North America,164318,970,,1,,665,,304,5,5903,6,13081,79608,
Sao Tome and Principe,Africa,220501,945,,16,,904,,25,,4286,73,6283,28494,Africa
San Marino,Europe,33955,928,,42,,721,,165,3,27330,1237,10165,299367,Europe
Channel Islands,Europe,174398,841,,48,,713,,80,10,4822,275,165849,950980,
Sint Maarten,North America,43038,826,,22,,753,,51,6,19192,511,6825,158581,
Diamond Princess,,,712,,13,,659,,40,4,,,,,
Turks and Caicos,North America,38891,704,1,6,,689,,9,1,18102,154,4675,120208,
Gibraltar,Europe,33688,697,,,,618,,79,1,20690,,66214,1965507,
Papua New Guinea,Australia/Oceania,9002893,589,,7,,575,,7,,65,0.8,29254,3249,WesternPacific
Burundi,Africa,12005791,585,,1,,511,,73,,49,0.08,49642,4135,Africa
Saint Martin,North America,38884,566,,9,,488,,69,12,14556,231,6072,156157,
Taiwan,Asia,23831297,558,3,7,,518,3,33,,23,0.3,102037,4282,WesternPacific
Comoros,Africa,875688,545,,7,,498,,40,,622,8,,,Africa
Liechtenstein,Europe,38165,533,,3,,347,,183,15,13966,79,9155,239879,Europe
Tanzania,Africa,60287771,509,,21,,183,,305,7,8,0.3,,,Africa
Faeroe Islands,Europe,48925,495,,,,481,,14,,10118,,153943,3146510,
Eritrea,Africa,3562711,463,,,,412,,51,,130,,,,Africa
Mauritius,Africa,1272479,441,,10,,398,,33,,347,8,260973,205090,Africa
Monaco,Europe,39335,359,,2,,273,,84,6,9127,51,51953,1320783,Europe
Isle of Man,Europe,85184,353,,24,,324,,5,,4144,282,16108,189097,
Bhutan,Asia,774438,349,1,,,324,5,25,,451,,173785,224401,South-EastAsia
Mongolia,Asia,3295759,346,,,,313,,33,1,105,,89939,27289,WesternPacific
Cambodia,Asia,16795757,291,,,,283,,8,,17,,182916,10891,WesternPacific
Cayman Islands,North America,65979,240,,1,,221,,18,1,3638,15,46733,708301,
Barbados,North America,287494,237,1,7,,221,3,9,,824,24,35518,123543,Americas
Bermuda,North America,62200,199,,9,,176,,14,,3199,145,85656,1377106,Americas
Caribbean Netherlands,North America,26304,153,,3,,145,,5,,5817,114,3353,127471,
Seychelles,Africa,98551,153,,,,149,,4,,1552,,5200,52765,Africa
Brunei ,Asia,438877,148,,3,,143,,2,,337,7,66995,152651,
Antigua and Barbuda,North America,98200,128,1,3,,117,1,8,,1303,31,3677,37444,Americas
St. Barth,North America,9887,83,,,,67,,16,,8395,,3526,356630,
Saint Lucia,North America,183909,78,,,,28,,50,,424,,10794,58692,Americas
St. Vincent Grenadines,North America,111059,74,,,,70,,4,,666,,6888,62021,
British Virgin Islands,North America,30298,71,,1,,70,,0,,2343,33,5193,171397,
Dominica,North America,72046,50,,,,33,,17,,694,,4268,59240,Americas
Macao,Asia,652273,46,,,,46,,0,,71,,4238,6497,
Fiji,Australia/Oceania,898619,34,,2,,31,,1,,38,2,12527,13940,WesternPacific
Timor-Leste,Asia,1326722,30,,,,29,,1,,23,,11268,8493,South-EastAsia
Grenada,North America,112698,28,,,,24,,4,,248,,6252,55476,Americas
New Caledonia,Australia/Oceania,286414,28,,,,28,,0,,98,,15750,54990,
Vatican City,Europe,802,27,,,,15,,12,,33666,,,,Europe
Laos,Asia,7310568,24,,,,22,,2,,3,,65305,8933,WesternPacific
Saint Kitts and Nevis,North America,53325,19,,,,19,,0,,356,,3138,58847,Americas
Greenland,North America,56803,17,,,,16,,1,,299,,10937,192543,Europe
Saint Pierre Miquelon,North America,5784,16,,,,12,,4,,2766,,2404,415629,
Montserrat,North America,4993,13,,1,,12,,0,,2604,200,483,96735,
Falkland Islands,South America,3513,13,,,,13,,0,,3701,,2682,763450,
Western Sahara,Africa,602143,10,,1,,8,,1,,17,2,,,Africa
